Experiment,LibraryLayout,Platform,Run,R1,R2
vp_0072,PAIRED,ILLUMINA,,s3://mybucket23443243SRR11613379.1_1.fastq.gz,s3://mybucket23443243SRR11613379.1_2.fastq.gz
vp_0073,PAIRED,ILLUMINA,,s3://mybucket23443243SRR11617821.1_1.fastq.gz,s3://mybucket23443243SRR11617821.1_2.fastq.gz
vp_0074,PAIRED,ILLUMINA,,s3://mybucket23443243SRR11621650.1_1.fastq.gz,s3://mybucket23443243SRR11621650.1_2.fastq.gz
vp_0075,PAIRED,ILLUMINA,,s3://mybucket23443243SRR11622652.1_1.fastq.gz,s3://mybucket23443243SRR11622652.1_2.fastq.gz
vp_0076,PAIRED,ILLUMINA,,s3://mybucket23443243SRR11624240.1_1.fastq.gz,s3://mybucket23443243SRR11624240.1_2.fastq.gz
vp_0077,PAIRED,ILLUMINA,,s3://mybucket23443243SRR11635551.1_1.fastq.gz,s3://mybucket23443243SRR11635551.1_2.fastq.gz
vp_0078,PAIRED,ILLUMINA,,s3://mybucket23443243SRR11638766.1_1.fastq.gz,s3://mybucket23443243SRR11638766.1_2.fastq.gz
vp_0079,PAIRED,ILLUMINA,,s3://mybucket23443243SRR11647977.1_1.fastq.gz,s3://mybucket23443243SRR11647977.1_2.fastq.gz
vp_0080,PAIRED,ILLUMINA,,s3://mybucket23443243SRR11652914.1_1.fastq.gz,s3://mybucket23443243SRR11652914.1_2.fastq.gz
vp_0081,PAIRED,ILLUMINA,,s3://mybucket23443243SRR11658054.1_1.fastq.gz,s3://mybucket23443243SRR11658054.1_2.fastq.gz
vp_0082,PAIRED,ILLUMINA,,s3://mybucket23443243SRR11658490.1_1.fastq.gz,s3://mybucket23443243SRR11658490.1_2.fastq.gz
vp_0083,PAIRED,ILLUMINA,,s3://mybucket23443243SRR11659062.1_1.fastq.gz,s3://mybucket23443243SRR11659062.1_2.fastq.gz
vp_0084,PAIRED,ILLUMINA,,s3://mybucket23443243SRR12033039.1_1.fastq.gz,s3://mybucket23443243SRR12033039.1_2.fastq.gz
vp_0085,PAIRED,ILLUMINA,,s3://mybucket23443243SRR12033040.1_1.fastq.gz,s3://mybucket23443243SRR12033040.1_2.fastq.gz
vp_0086,PAIRED,ILLUMINA,,s3://mybucket23443243SRR12033041.1_1.fastq.gz,s3://mybucket23443243SRR12033041.1_2.fastq.gz
vp_0087,PAIRED,ILLUMINA,,s3://mybucket23443243SRR12033042.1_1.fastq.gz,s3://mybucket23443243SRR12033042.1_2.fastq.gz
vp_0088,PAIRED,ILLUMINA,,s3://mybucket23443243SRR12033043.1_1.fastq.gz,s3://mybucket23443243SRR12033043.1_2.fastq.gz
vp_0089,PAIRED,ILLUMINA,,s3://mybucket23443243SRR12033044.1_1.fastq.gz,s3://mybucket23443243SRR12033044.1_2.fastq.gz
vp_0090,PAIRED,ILLUMINA,,s3://mybucket23443243SRR12398138.1_1.fastq.gz,s3://mybucket23443243SRR12398138.1_2.fastq.gz
vp_0091,PAIRED,ILLUMINA,,s3://mybucket23443243SRR12459902.1_1.fastq.gz,s3://mybucket23443243SRR12459902.1_2.fastq.gz
vp_0092,PAIRED,ILLUMINA,,s3://mybucket23443243SRR12791756.1_1.fastq.gz,s3://mybucket23443243SRR12791756.1_2.fastq.gz
vp_0093,PAIRED,ILLUMINA,,s3://mybucket23443243SRR12791757.1_1.fastq.gz,s3://mybucket23443243SRR12791757.1_2.fastq.gz
vp_0094,PAIRED,ILLUMINA,,s3://mybucket23443243SRR13356116.1_1.fastq.gz,s3://mybucket23443243SRR13356116.1_2.fastq.gz
