Experiment,LibraryLayout,Platform,Run,R1,R2
vp_0211,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5171703.1.fastq.gz,
vp_0212,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5171705.1.fastq.gz,
vp_0213,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5171707.1.fastq.gz,
vp_0214,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5171709.1.fastq.gz,
vp_0215,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5171711.1.fastq.gz,
vp_0216,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5298497.1.fastq.gz,
vp_0217,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5298499.1.fastq.gz,
vp_0218,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5298501.1.fastq.gz,
vp_0219,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5298503.1.fastq.gz,
vp_0220,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5298505.1.fastq.gz,
vp_0221,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5298507.1.fastq.gz,
vp_0222,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5298509.1.fastq.gz,
vp_0223,SINGLE,ILLUMINA,,s3://mybucket23443243SRR5298511.1.fastq.gz,
